"URI","rdf-schema#label","runtime","album_label","album","artist_label","artist","composer_label","composer","genre_label","genre","language_label","language","previousWork_label","previousWork","producer_label","producer","recordDate","recordLabel_label","recordLabel","recordedIn_label","recordedIn","releaseDate","runtime","subsequentWork_label","subsequentWork","title","trackNumber","type_label","type","writer_label","writer"
"http://dbpedia.org/resource/%C3%96ppna_landskap","Öppna landskap","NULL","Kär och galen","http://dbpedia.org/resource/K%C3%A4r_och_galen","Ulf Lundell","http://dbpedia.org/resource/Ulf_Lundell","Ulf Lundell","http://dbpedia.org/resource/Ulf_Lundell","Rock music","http://dbpedia.org/resource/Rock_music","Swedish language","http://dbpedia.org/resource/Swedish_language","Kär och galen","http://dbpedia.org/resource/K%C3%A4r_och_galen","NULL","NULL","NULL","Sweetheart_(record_label)","http://dbpedia.org/resource/Sweetheart_(record_label)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","Song","http://dbpedia.org/resource/Song","Ulf Lundell","http://dbpedia.org/resource/Ulf_Lundell"
"http://dbpedia.org/resource/%C3%9Aj_n%C3%A9v_a_r%C3%A9gi_h%C3%A1z_fal%C3%A1n","Új név a régi ház falán","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Hungary","http://dbpedia.org/resource/Hungary","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C3%9Cber_die_Br%C3%BCcke_geh'n","Über die Brücke geh'n","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C3%9E%C3%A1_veistu_svari%C3%B0","Þá veistu svarið","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Icelandic language","http://dbpedia.org/resource/Icelandic_language","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Nætur","http://dbpedia.org/resource/N%C3%A6tur","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C3%9E%C3%BA_og_%C3%BEeir_(S%C3%B3krates)","Þú og þeir (Sókrates)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Icelandic language","http://dbpedia.org/resource/Icelandic_language","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Það sem enginn sér","http://dbpedia.org/resource/%C3%9Ea%C3%B0_sem_enginn_s%C3%A9r","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C3%9Ea%C3%B0_sem_enginn_s%C3%A9r","Það sem enginn sér","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Icelandic language","http://dbpedia.org/resource/Icelandic_language","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Eitt lag enn","http://dbpedia.org/resource/Eitt_lag_enn","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C4%8Caroban","Čaroban","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Ovo je Balkan","http://dbpedia.org/resource/Ovo_je_Balkan","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Nije ljubav stvar","http://dbpedia.org/resource/Nije_ljubav_stvar","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C4%8Ce%C5%BEnja","Čežnja","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Croatian language","http://dbpedia.org/resource/Croatian_language","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Brez besed","http://dbpedia.org/resource/Brez_besed","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C4%B0ki_Dakika","İki Dakika","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Turkey","http://dbpedia.org/resource/Turkey","Gözlerinin Hapsindeyim","http://dbpedia.org/resource/G%C3%B6zlerinin_Hapsindeyim","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yaz Bitti","http://dbpedia.org/resource/Yaz_Bitti","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C5%9Eark%C4%B1m_Sevgi_%C3%9Cst%C3%BCne","Şarkım Sevgi Üstüne","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Turkey","http://dbpedia.org/resource/Turkey","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C5%BDeljo_moja","Željo moja","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Croats","http://dbpedia.org/resource/Croats","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C5%BDivot_je_sklopio_krug","Život je sklopio krug","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Serbo-Croatian","http://dbpedia.org/resource/Serbo-Croatian","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Čežnja","http://dbpedia.org/resource/%C4%8Ce%C5%BEnja","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%E2%80%99O_sole_mio","’O sole mio","NULL","NULL","NULL","NULL","NULL","Eduardo di Capua","http://dbpedia.org/resource/Eduardo_di_Capua","NULL","NULL","Neapolitan language","http://dbpedia.org/resource/Neapolitan_language","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","’O sole mio","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%E2%80%9CFalling_Slowly%E2%80%9D","“Falling Slowly”","{4.066666666666666|4.583333333333333|4.833333333333333}","Once (film)","http://dbpedia.org/resource/Once_(film)","{Markéta Irglová|Glen Hansard}","{http://dbpedia.org/resource/Mark%C3%A9ta_Irglov%C3%A1|http://dbpedia.org/resource/Glen_Hansard}","NULL","NULL","{Indie folk|Indie rock}","{http://dbpedia.org/resource/Indie_folk|http://dbpedia.org/resource/Indie_rock}","NULL","NULL","NULL","NULL","Glen Hansard","http://dbpedia.org/resource/Glen_Hansard","NULL","Overcoat Recordings","http://dbpedia.org/resource/Overcoat_Recordings","NULL","NULL","{2006-04-21|2006-09-22|2007-05-22}","{244.0|275.0|290.0}","NULL","NULL","NULL","1","NULL","NULL","{Markéta Irglová|Glen Hansard}","{http://dbpedia.org/resource/Mark%C3%A9ta_Irglov%C3%A1|http://dbpedia.org/resource/Glen_Hansard}"
"http://dbpedia.org/resource/'97_Bonnie_&_Clyde","'97 Bonnie & Clyde","{5.0|4.333333333333333}","{Slim Shady EP|The Slim Shady LP}","{http://dbpedia.org/resource/Slim_Shady_EP|http://dbpedia.org/resource/The_Slim_Shady_LP}","Eminem","http://dbpedia.org/resource/Eminem","NULL","NULL","Hip hop music","http://dbpedia.org/resource/Hip_hop_music","NULL","NULL","NULL","NULL","Eminem","http://dbpedia.org/resource/Eminem","NULL","{Interscope Records|Aftermath Entertainment}","{http://dbpedia.org/resource/Interscope_Records|http://dbpedia.org/resource/Aftermath_Entertainment}","NULL","NULL","1998-02-12","{260.0|300.0}","NULL","NULL","NULL","NULL","NULL","NULL","{Eminem|Bass Brothers}","{http://dbpedia.org/resource/Eminem|http://dbpedia.org/resource/Bass_Brothers}"
"http://dbpedia.org/resource/'A'_You're_Adorable","'A' You're Adorable","NULL","NULL","NULL","NULL","NULL","Sid_Lippman","http://dbpedia.org/resource/Sid_Lippman","NULL","NULL","English language","http://dbpedia.org/resource/English_language","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","'A' You're Adorable","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/'Ajde,_kro%C4%8Di","'Ajde kroči","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Montenegro","http://dbpedia.org/resource/Montenegro","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/'Cuz_I_Can_(Pink_song)","'Cuz I Can (Pink song)","3.716666666666667","I'm Not Dead","http://dbpedia.org/resource/I'm_Not_Dead","Pink (singer)","http://dbpedia.org/resource/Pink_(singer)","NULL","NULL","{Pop punk|Pop rock}","{http://dbpedia.org/resource/Pop_punk|http://dbpedia.org/resource/Pop_rock}","NULL","NULL","NULL","NULL","Max Martin","http://dbpedia.org/resource/Max_Martin","NULL","LaFace Records","http://dbpedia.org/resource/LaFace_Records","NULL","NULL","2007-10-04","223.0","NULL","NULL","NULL","NULL","Promotional recording","http://dbpedia.org/resource/Promotional_recording","{Max Martin|Dr. Luke|Pink (singer)}","{http://dbpedia.org/resource/Max_Martin|http://dbpedia.org/resource/Dr._Luke|http://dbpedia.org/resource/Pink_(singer)}"
"http://dbpedia.org/resource/'Deed_I_Do","'Deed I Do","NULL","NULL","NULL","NULL","NULL","Fred Rose (songwriter)","http://dbpedia.org/resource/Fred_Rose_(songwriter)","Jazz","http://dbpedia.org/resource/Jazz","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","'Deed I Do","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/'Round_Midnight_(song)","'Round Midnight (song)","NULL","NULL","NULL","Thelonious Monk","http://dbpedia.org/resource/Thelonious_Monk","Thelonious Monk","http://dbpedia.org/resource/Thelonious_Monk","Bebop","http://dbpedia.org/resource/Bebop","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/'S_Wonderful","'S Wonderful","NULL","NULL","NULL","NULL","NULL","George Gershwin","http://dbpedia.org/resource/George_Gershwin","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","S Wonderful","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/'The_Half_of_It,_Dearie'_Blues","'The Half of It Dearie' Blues","NULL","NULL","NULL","NULL","NULL","George Gershwin","http://dbpedia.org/resource/George_Gershwin","Jazz","http://dbpedia.org/resource/Jazz","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","'The Half of It Dearie' Blues","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/'Till_I_Collapse","'Till I Collapse","5.0","The Eminem Show","http://dbpedia.org/resource/The_Eminem_Show","Eminem","http://dbpedia.org/resource/Eminem","NULL","NULL","{Hardcore hip hop|Rap rock}","{http://dbpedia.org/resource/Hardcore_hip_hop|http://dbpedia.org/resource/Rap_rock}","NULL","NULL","NULL","NULL","Eminem","http://dbpedia.org/resource/Eminem","NULL","{Interscope Records|Aftermath Entertainment|Shady Records}","{http://dbpedia.org/resource/Interscope_Records|http://dbpedia.org/resource/Aftermath_Entertainment|http://dbpedia.org/resource/Shady_Records}","NULL","NULL","2002-05-28","300.0","NULL","NULL","NULL","18","NULL","NULL","Luis Resto (musician)","http://dbpedia.org/resource/Luis_Resto_(musician)"
"http://dbpedia.org/resource/'Tis_Harry_I'm_Plannin'_to_Marry","'Tis Harry I'm Plannin' to Marry","NULL","Calamity Jane (film)","http://dbpedia.org/resource/Calamity_Jane_(film)","NULL","NULL","Sammy Fain","http://dbpedia.org/resource/Sammy_Fain","Popular music","http://dbpedia.org/resource/Popular_music","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Paul Francis Webster","http://dbpedia.org/resource/Paul_Francis_Webster"
"http://dbpedia.org/resource/'n_Beetje","'n Beetje","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Dutch language","http://dbpedia.org/resource/Dutch_language","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Wat een geluk","http://dbpedia.org/resource/Wat_een_geluk","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/'t_Is_Genoeg","'t Is Genoeg","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Dutch language","http://dbpedia.org/resource/Dutch_language","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Fernando en Filippo","http://dbpedia.org/resource/Fernando_en_Filippo","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/'t_Is_OK","'t Is OK","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Netherlands","http://dbpedia.org/resource/Netherlands","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/(Drop_Dead)_Beautiful","(Drop Dead) Beautiful","3.6","Femme Fatale (Britney Spears album)","http://dbpedia.org/resource/Femme_Fatale_(Britney_Spears_album)","Britney Spears","http://dbpedia.org/resource/Britney_Spears","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Jive Records","http://dbpedia.org/resource/Jive_Records","NULL","NULL","NULL","216.0","NULL","NULL","NULL","NULL","Promotional recording","http://dbpedia.org/resource/Promotional_recording","NULL","NULL"
"http://dbpedia.org/resource/(Evening)_Time_to_Get_Away","(Evening) Time to Get Away","3.283333333333333","Days of Future Passed","http://dbpedia.org/resource/Days_of_Future_Passed","The Moody Blues","http://dbpedia.org/resource/The_Moody_Blues","NULL","NULL","{Psychedelic rock|Symphonic rock|Folk rock}","{http://dbpedia.org/resource/Psychedelic_rock|http://dbpedia.org/resource/Symphonic_rock|http://dbpedia.org/resource/Folk_rock}","NULL","NULL","NULL","NULL","Tony Clarke (producer)","http://dbpedia.org/resource/Tony_Clarke_(producer)","NULL","Deram Records","http://dbpedia.org/resource/Deram_Records","NULL","NULL","1967-11-10","197.0","NULL","NULL","NULL","5","NULL","NULL","John Lodge (musician)","http://dbpedia.org/resource/John_Lodge_(musician)"
"http://dbpedia.org/resource/(Every_Time_I_Turn_Around)_Back_in_Love_Again","(Every Time I Turn Around) Back in Love Again","{3.0|4.733333333333333}","Something to Love","http://dbpedia.org/resource/Something_to_Love","L.T.D.","http://dbpedia.org/resource/L.T.D.","NULL","NULL","{Disco|Funk|Rhythm and blues}","{http://dbpedia.org/resource/Disco|http://dbpedia.org/resource/Funk|http://dbpedia.org/resource/Rhythm_and_blues}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","A&M Records","http://dbpedia.org/resource/A&M_Records","NULL","NULL","NULL","{180.0|284.0}","NULL","NULL","NULL","3","NULL","NULL","{Zane Grey|Len_Ron_Hanks}","{http://dbpedia.org/resource/Zane_Grey|http://dbpedia.org/resource/Len_Ron_Hanks}"
