"country","id","mayor","metroPopulation","name","population","rank","sameAs"
"Nigeria","788","n/k","9.123 thousand","Lagos","7.938 thousand","20","http://dbpedia.org/resource/Lagos"
"Indonesia","305","n/k","926 thousand","Cirebon","319 thousand","n/r","http://dbpedia.org/resource/Cirebon"
"China","547","Cao Yong",,"Huainan","1.201 thousand","321","http://dbpedia.org/resource/Huainan"
"Pakistan","789","Mian Amir Mahmood","8.600 thousand","Lahore","6.100 thousand","30","http://dbpedia.org/resource/Lahore"
"Indonesia","306","n/k","784 thousand","Tegal","238 thousand","n/r","http://dbpedia.org/resource/Tegal._Central_Java"
"China","548","n/k",,"Anqiu","1.200 thousand","322","http://dbpedia.org/resource/Anqiu"
"Iran","307","Mohammad Bagher Ghalibaf","13.450 thousand","TEHRAN","8.430 thousand","16","http://dbpedia.org/resource/Tehran"
"China","549","n/k",,"Fuqing","1.200 thousand","323","http://dbpedia.org/resource/Fuqing"
"Iran","308","Mohammad Pejman","3.000 thousand","Mashhad","2.910 thousand","81","http://dbpedia.org/resource/Mashhad"
"Iran","309","Morteza Saqaeian Nejad","2.600 thousand","Esfahan","1.584 thousand","197","http://dbpedia.org/resource/Isfahan"
"China","790","Ma Pingchang",,"Laiwu","1.249 thousand","312","http://dbpedia.org/resource/Laiwu"
"China","791","n/k",,"Laizhou","902 thousand","448","http://dbpedia.org/resource/Laizhou"
"China","550","n/k",,"Qianjiang","1.190 thousand","330","http://dbpedia.org/resource/Qianjiang._Hubei"
"China","792","Zhang Jinliang","3.300 thousand","Lanzhou","2.088 thousand","135","http://dbpedia.org/resource/Lanzhou"
"China","551","n/k",,"Bazhong","1.186 thousand","331","http://dbpedia.org/resource/Bazhong"
"USA","793","Oscar B Goodman","1.866 thousand","Las Vegas","558 thousand","586","http://dbpedia.org/resource/Las_Vegas"
"Iran","310","Alireza Novin",,"Tabriz","1.420 thousand","248","http://dbpedia.org/resource/Tabriz"
"China","552","n/k",,"Leqing","1.183 thousand","333","http://dbpedia.org/resource/Yueqing"
"UK","794","Paul Rogerson","1.500 thousand","Leeds","778 thousand","510","http://dbpedia.org/resource/Leeds"
"Iran","311","n/k",,"Karaj","1.380 thousand","264","http://dbpedia.org/resource/Karaj"
"China","553","n/k",,"Dongtai","1.170 thousand","337","http://dbpedia.org/resource/Dongtai"
"Germany","795","Burkhard Jung","1.417 thousand","Leipzig","515 thousand","n/r","http://dbpedia.org/resource/Leipzig"
"Iran","312","Saeed Mombeini","1.500 thousand","Ahwaz","1.338 thousand","282","http://dbpedia.org/resource/Ahvaz"
"China","554","n/k","3.037 thousand","Guangyuan","1.160 thousand","341","http://dbpedia.org/resource/Guangyuan"
"Mexico","796","Ricardo Sheffield","1.635 thousand","Leon","1.138 thousand","349","http://dbpedia.org/resource/Le%C3%B3n._Guanajuato"
"Iran","313","Mehran E'temad","1.300 thousand","Shiraz","1.228 thousand","318","http://dbpedia.org/resource/Shiraz"
"China","555","n/k",,"Qidong","1.160 thousand","342","http://dbpedia.org/resource/Qidong._Jiangsu"
"China","797","n/k",,"Leqing","1.183 thousand","333","http://dbpedia.org/resource/Yueqing"
"Iran","314","n/k",,"Qom","1.042 thousand","393","http://dbpedia.org/resource/Kahak._Qom"
"China","556","n/k","7.188 thousand","Bijie","1.130 thousand","353","http://dbpedia.org/resource/Bijie"
"China","798","n/k",,"Leshan","1.120 thousand","357","http://dbpedia.org/resource/Leshan"
"Iran","315","n/k","966 thousand","Kermanshah","823 thousand","477","http://dbpedia.org/resource/Kermanshah"
"China","557","n/k",,"Haicheng","1.130 thousand","354","http://dbpedia.org/resource/Haicheng._Liaoning"
"China","799","Xing Taian",,"Lianjiang","1.300 thousand","290","http://dbpedia.org/resource/Lianjiang._Guangdong"
"Iraq","316","Sabir al-Issawi","6.500 thousand","Baghdad","6.050 thousand","32","http://dbpedia.org/resource/Baghdad"
"China","558","n/k",,"Leshan","1.120 thousand","357","http://dbpedia.org/resource/Leshan"
"Iraq","317","Jabbar Jaber Al-Latif","3.800 thousand","Basrah","1.760 thousand","168","http://dbpedia.org/resource/Basra"
"China","559","n/k",,"Jimo","1.112 thousand","361","http://dbpedia.org/resource/Jimo"
"Iraq","318","n/k","1.5000 thousand","Irbil","1.294 thousand","295","http://dbpedia.org/resource/Erbil"
"Iraq","319","n/k","1.139 thousand","Mosul","1.139 thousand","348","http://dbpedia.org/resource/Mosul"
"China","560","Zhang Zhen Chuan",,"Jining","1.110 thousand","362","http://dbpedia.org/resource/Jining"
"China","561","n/k",,"Wafangdian","1.100 thousand","368","http://dbpedia.org/resource/Wafangdian"
"Ireland","320","Emer Costello","1.661 thousand","Dublin","506 thousand","n/r","http://dbpedia.org/resource/Dublin"
"China","562","n/k",,"Shouguang","1.090 thousand","373","http://dbpedia.org/resource/Shouguang"
"Israel","321","Nir Barkat Nazareth","1.029 thousand","Jerusalem","764 thousand","514","http://dbpedia.org/resource/Jerusalem"
"China","563","n/k",,"Taishan","1.070 thousand","381","http://dbpedia.org/resource/Taishan"
"Israel","322","Ron Huldai","3.250 thousand","TEL AVIV","383 thousand","n/r","http://dbpedia.org/resource/Tel_Aviv"
"China","564","n/k",,"Ezhou","1.064 thousand","385","http://dbpedia.org/resource/Ezhou"
"Israel","323","Yona Yahav","975 thousand","Haifa","276 thousand","n/r","http://dbpedia.org/resource/Haifa"
"China","565","n/k",,"Jiangdu","1.053 thousand","388","http://dbpedia.org/resource/Jiangdu_District"
"Italy","324","Gianni Alemanno","3.555 thousand","ROME","2.732 thousand","90","http://dbpedia.org/resource/Rome"
"China","566","n/k",,"Beiliu","1.050 thousand","390","http://dbpedia.org/resource/Beiliu"
"Italy","325","Letizia Moratti","4.051 thousand","Milan","1.302 thousand","289","http://dbpedia.org/resource/Milan"
"China","567","n/k",,"Gongzhuling","1.050 thousand","391","http://dbpedia.org/resource/Gongzhuling"
"Italy","326","Rosa Russo Jervolino","3.000 thousand","Naples","963 thousand","423","http://dbpedia.org/resource/Naples"
"China","568","Wang Xiang",,"Changshu","1.048 thousand","392","http://dbpedia.org/resource/Changshu"
"Italy","327","Sergio Chiamparino","1.617 thousand","Turin","910 thousand","442","http://dbpedia.org/resource/Turin"
"China","569","X�e Y�s��","3.700 thousand","Fuzhou (Jiangxi)","1.020 thousand","399","http://dbpedia.org/resource/Fuzhou._Jiangxi"
"Italy","328","Diego Cammarata","947 thousand","Palermo","684 thousand","546","http://dbpedia.org/resource/Palermo"
"Italy","329","Matteo Renzi","825 thousand","Florence","375 thousand","n/r","http://dbpedia.org/resource/Florence"
"China","570","Gong Jianhua","958 thousand","Yichun","1.020 thousand","400","http://dbpedia.org/resource/Yichun._Jiangxi"
"China","571","n/k","2.707 thousand","Mudanjiang","1.014 thousand","402","http://dbpedia.org/resource/Mudanjiang"
"Italy","330","n/k","831 thousand","Catania","337 thousand","n/r","http://dbpedia.org/resource/Catania"
"China","572","n/k",,"Baoding","997 thousand","413","http://dbpedia.org/resource/Baoding"
"Ivory Coast","331","Pierre Dj�dji Amondji","4.000 thousand","Abidjan","3.800 thousand","56","http://dbpedia.org/resource/Abidjan"
"China","573","n/k","2.090 thousand","Hezhou","990 thousand","415","http://dbpedia.org/resource/Linxia_City"
"Ivory Coast","332","n/k","775 thousand","Bouakt","531 thousand","n/r","http://dbpedia.org/resource/Bouak%C3%A9"
"China","574","n/k","1.500 thousand","Wujiang","970 thousand","422","http://dbpedia.org/resource/Wujiang_District._Suzhou"
"Jamaica","333","n/k","925 thousand","KINGSTON","650 thousand","562","http://dbpedia.org/resource/Kingston._Jamaica"
"China","575","n/k",,"Feicheng","960 thousand","426","http://dbpedia.org/resource/Feicheng"
"Japan","334","Shintaro Ishihara","31.036 thousand","TOKYO","8.653 thousand","15","http://dbpedia.org/resource/Tokyo"
"China","576","n/k",,"Haimen","950 thousand","429","http://dbpedia.org/resource/Haimen"
"Japan","335","Fumiko Hayashi",,"Yokohama","3.655 thousand","59","http://dbpedia.org/resource/Yokohama"
"China","577","n/k",,"Weinan","925 thousand","435","http://dbpedia.org/resource/Weinan"
"Japan","336","Kunio Hiramatsu","17.590 thousand","Osaka","2.647 thousand","95","http://dbpedia.org/resource/Osaka"
"China","578","n/k",,"Songzi","905 thousand","445","http://dbpedia.org/resource/Songzi"
"Japan","337","Takashi Kawamura","9.250 thousand","Nagoya","2.260 thousand","125","http://dbpedia.org/resource/Nagoya"
"China","579","n/k",,"Laizhou","902 thousand","448","http://dbpedia.org/resource/Laizhou"
"Japan","338","Fumio Ueda","2.130 thousand","Sapporo","1.906 thousand","148","http://dbpedia.org/resource/Sapporo"
"Japan","339","Tatsuo Yada","1.560 thousand","Kobe","1.534 thousand","206","http://dbpedia.org/resource/Kobe"
"China","580","n/k",,"Danyang","890 thousand","454","http://dbpedia.org/resource/Danyang._Jiangsu"
"China","581","n/k","7.000 thousand","Hengyang","880 thousand","456","http://dbpedia.org/resource/Hengyang"
"Japan","340","Daisaku Kadokawa","1.500 thousand","Kyoto","1.466 thousand","227","http://dbpedia.org/resource/Kyoto"
"China","582","n/k",,"Honghu","880 thousand","457","http://dbpedia.org/resource/Honghu"
"Japan","341","Hiroshi Yoshida","2.230 thousand","Fukuoka","1.450 thousand","234","http://dbpedia.org/resource/Fukuoka"
"China","583","n/k",,"Daye","874 thousand","459","http://dbpedia.org/resource/Huangshi"
"Kyrgyztan","100","Melis Myrzakmatov",,"Osh","230 thousand","n/r","http://dbpedia.org/resource/Osh"
"Japan","342","Takao Abe","1.450 thousand","Kawasaki","1.390 thousand","261","http://dbpedia.org/resource/Kawasaki._Kanagawa"
"China","584","Gang Rui","1.567 thousand","Benxi","830 thousand","473","http://dbpedia.org/resource/Benxi"
"Nigeria","101","n/k","1.309 thousand","Oshogbo","421 thousand","n/r","http://dbpedia.org/resource/Osogbo"
"Japan","343","Hayato Shimizu",,"Saitama","1.183 thousand","334","http://dbpedia.org/resource/Saitama._Saitama"
"China","585","n/k",,"Haikou","830 thousand","474","http://dbpedia.org/resource/Haikou"
"Norway","102","Fabian Stang","876 thousand","OSLO","584 thousand","575","http://dbpedia.org/resource/Oslo"
"Japan","344","Tadatoshi Akiba","1.700 thousand","Hiroshima","1.174 thousand","336","http://dbpedia.org/resource/Hiroshima"
"China","586","n/k","1.041 thousand","Hohhot","820 thousand","480","http://dbpedia.org/resource/Hohhot"
"Canada","103","Larry O'Brien","1.131 thousand","OTTAWA","815 thousand","483","http://dbpedia.org/resource/Ottawa"
"Japan","345","Emiko Okuyama","1.300 thousand","Sendai","1.032 thousand","396","http://dbpedia.org/resource/Sendai"
"China","587","n/k","990 thousand","Liuzhou","810 thousand","487","http://dbpedia.org/resource/Liuzhou"
"Burkina Faso","104","Simon Compaor�","1.727 thousand","OUAGADOUGOU","1.475 thousand","225","http://dbpedia.org/resource/Ouagadougou"
"Japan","346","Kenji Kitahashi","1.050 thousand","Kitakyushu","985 thousand","418","http://dbpedia.org/resource/Kitakyushu"
"China","588","Chen Qitao","3.470 thousand","Bengbu","809 thousand","490","http://dbpedia.org/resource/Bengbu"
"Indonesia","105","Fauzi Bahar","900 thousand","Padang","820 thousand","481","http://dbpedia.org/resource/Padang"
"Japan","347","Toshihito Kumagai","970 thousand","Chiba","962 thousand","424","http://dbpedia.org/resource/Chiba._Chiba"
"China","589","n/k","2.770 thousand","Daqing","800 thousand","499","http://dbpedia.org/resource/Daqing"
"Indonesia","106","Eddy Santana Putra",,"Palembang","1.600 thousand","195","http://dbpedia.org/resource/Palembang"
"Japan","348","Keisuke Kiharac",,"Sakai","836 thousand","470","http://dbpedia.org/resource/Sakai._Osaka"
"Italy","107","Diego Cammarata","947 thousand","Palermo","684 thousand","546","http://dbpedia.org/resource/Palermo"
"Japan","349","Yasutomo Suzuki","1.093 thousand","Hamamatsu","815 thousand","482","http://dbpedia.org/resource/Hamamatsu"
"Panama","108","Bosco Vallarino","1.220 thousand","PANAMA CITY","850 thousand","467","http://dbpedia.org/resource/Panama_City"
"China","109","n/k","771 thousand","Panzhihua","478 thousand","n/r","http://dbpedia.org/resource/Panzhihua"
"China","590","Huang Xingwei","10.700 thousand","Nanyang","800 thousand","500","http://dbpedia.org/resource/Nanyang._Henan"
"China","591","Zhu. Deyi","1.960 thousand","Jixi","760 thousand","516","http://dbpedia.org/resource/Jixi"
"Japan","350","Akira Shinoda",,"Niigata","812 thousand","486","http://dbpedia.org/resource/Niigata._Niigata"
"China","592","n/k",,"Ankang","743 thousand","521","http://dbpedia.org/resource/Ankang"
"Japan","351","Zenkichi Kojima","1.211 thousand","Shizuoka","718 thousand","530","http://dbpedia.org/resource/Shizuoka._Shizuoka"
"China","593","n/k","894 thousand","Xining","713 thousand","533","http://dbpedia.org/resource/Xining"
"France","110","Bertrand Delano�","11.769 thousand","PARIS","2.113 thousand","133","http://dbpedia.org/resource/Paris"
"Japan","352","Shigeo Takaya","1.250 thousand","Okayama","700 thousand","539","http://dbpedia.org/resource/Okayama"
"China","594","n/k","969 thousand","Fuxin","690 thousand","541","http://dbpedia.org/resource/Fuxin"
"India","111","GhanShyam Kumar","2.500 thousand","Patna","1.800 thousand","160","http://dbpedia.org/resource/Patna"
"Japan","353","Kita Kurose",,"Okinawa","129 thousand","n/r","http://dbpedia.org/resource/Naha._Okinawa"
"China","595","n/k","902 thousand","Jinzhou","690 thousand","543","http://dbpedia.org/resource/Jinzhou"
"Russia","112","Igor Shubin","1.200 thousand","Perm","1.010 thousand","404","http://dbpedia.org/resource/Perm"
"Jordan","354","Omar Maani","2.524 thousand","AMMAN","1.919 thousand","146","http://dbpedia.org/resource/Amman"
"China","596","n/k","882 thousand","Zhangjiakou","680 thousand","551","http://dbpedia.org/resource/Zhangjiakou"
"Australia","113","Lisa Scaffidi",,"Perth","1.603 thousand","193","http://dbpedia.org/resource/Perth"
"Kazakhstan","355","Akhmetzhan Yesimov","1.500 thousand","ALMATY","1.420 thousand","244","http://dbpedia.org/resource/Almaty"
"China","597","n/k","855 thousand","Kaifeng","584 thousand","574","http://dbpedia.org/resource/Kaifeng"
"Pakistan","114","Muhammad Umar Khan","3.100 thousand","Peshawar","1.100 thousand","367","http://dbpedia.org/resource/Peshawar"
"Kazakhstan","356","Imangali Tasmagambetov",,"ASTANA","803 thousand","496","http://dbpedia.org/resource/Astana"
"China","598","n/k","799 thousand","Hengyang","561 thousand","584","http://dbpedia.org/resource/Hengyang"
"USA","115","Michael Nutter","5.345 thousand","Philadelphia","1.540 thousand","205","http://dbpedia.org/resource/Philadelphia"
"Kenia","357","Ahmed Abubakar Mohdhar",,"Mombasa","880 thousand","458","http://dbpedia.org/resource/Mombasa"
"China","599","n/k","771 thousand","Panzhihua","478 thousand","n/r","http://dbpedia.org/resource/Panzhihua"
"Cambodia","116","Keb Chutema","2.001 thousand","PHNOM PENH","1.242 thousand","314","http://dbpedia.org/resource/Phnom_Penh"
"Kenya","358","Geoffrey Majiwa","3.300 thousand","NAIROBI","3.130 thousand","74","http://dbpedia.org/resource/Nairobi"
"USA","117","Phil Gordon","4.282 thousand","Phoenix","1.568 thousand","199","http://dbpedia.org/resource/Phoenix._Arizona"
"Kuwait","359","n/k","2.380 thousand","KUWAIT CITY","96 thousand","n/r","http://dbpedia.org/resource/Kuwait_City"
"Senegal","118","n/k",,"Pikine-Guediawaye","1.200 thousand","325","http://dbpedia.org/resource/Pikine"
"India","119","Yogesh Behl",,"Pimpri Chinchwad","1.515 thousand","213","http://dbpedia.org/resource/Pimpri-Chinchwad"
"Nicaragua","10","Daisy Torres","1.342 thousand","MANAGUA","1.185 thousand","332","http://dbpedia.org/resource/Managua"
"Brazil","11","Amazonino Mendes","1.924 thousand","Manaus","1.739 thousand","173","http://dbpedia.org/resource/Manaus"
"UK","12","Mavis Smitheman","2.240.230","Manchester","464 thousand","n/r","http://dbpedia.org/resource/Manchester"
"Myanmar (Burma)","13","Phone Zaw Han","1.300 thousand","Mandalay","961 thousand","425","http://dbpedia.org/resource/Mandalay"
"Philippines","14","Alfredo S Lim","13.503 thousand","MANILA METRO","11.550 thousand","7","http://dbpedia.org/resource/Metro_Manila"
"Germany","15","Peter Kurz","1.456 thousand","Mannheim","311 thousand","n/r","http://dbpedia.org/resource/Mannheim"
"Mozambique","16","David Simango","1.640 thousand","MAPUTO","1.244 thousand","313","http://dbpedia.org/resource/Maputo"
"Venezuela","17","Eveling Trejo","1.868 thousand","Maracaibo","1.799 thousand","164","http://dbpedia.org/resource/Maracaibo"
"Venezuela","18","Humberto Prieto","1.125 thousand","Maracay","479 thousand","n/r","http://dbpedia.org/resource/Maracay"
"Morocco","19","n/k",,"Marrakech","1.071 thousand","380","http://dbpedia.org/resource/Marrakesh"
"Kyrgyzstan","360","Nariman Tuleyev","800 thousand","BISHKEK","765 thousand","513","http://dbpedia.org/resource/Bishkek"
"Kyrgyztan","361","Melis Myrzakmatov",,"Osh","230 thousand","n/r","http://dbpedia.org/resource/Osh"
"China","120","Deng Yongjian","5.200 thousand","Pingdingshan","1.230 thousand","316","http://dbpedia.org/resource/Pingdingshan"
"Latvia","362","Nils Usakovs","878 thousand","RIGA","725 thousand","528","http://dbpedia.org/resource/Riga"
"China","121","n/k",,"Pingdu","1.340 thousand","281","http://dbpedia.org/resource/Pingdu"
"Lebanon","363","Abdel Mounim Ariss","2.600 thousand","BEIRUT","1.250 thousand","309","http://dbpedia.org/resource/Beirut"
"USA","122","Luke Ravenstahl","2.411 thousand","Pittsburgh","335 thousand","n/r","http://dbpedia.org/resource/Pittsburgh"
"Liberia","364","Ophelia Hoff Saytumah","1.010 thousand","MONROVIA","543 thousand","594","http://dbpedia.org/resource/Monrovia"
"Congo Br","123","n/k","789 thousand","Pointe Noire","527 thousand","n/r","http://dbpedia.org/resource/Pointe-Noire"
"Libya","365","Abdullatif Abdulrahman Aldaali","2.270 thousand","TRIPOLI","1.683 thousand","179","http://dbpedia.org/resource/Tripoli"
"South Africa","124","Nondumiso Maphasi","1.245 thousand","Port Elizabeth","833 thousand","471","http://dbpedia.org/resource/Port_Elizabeth"
"Libya","366","n/k","1.500 thousand","Benghazi","1.471 thousand","226","http://dbpedia.org/resource/Benghazi"
"Nigeria","125","Azubuike Nmerukini","3.761 thousand","Port Harcourt","2.667 thousand","94","http://dbpedia.org/resource/Port_Harcourt"
"Lithuania","367","Vilius Navickas",,"VILNIUS","545 thousand","593","http://dbpedia.org/resource/Vilnius"
"Haiti","126","Jean Yves Jason","1.728 thousand","PORT-AU-PRINCE","1.083 thousand","376","http://dbpedia.org/resource/Port-au-Prince"
"Afghanistan","368","Mohammad Yunus Noandesh","4.000 thousand","KABUL","3.586 thousand","64","http://dbpedia.org/resource/Kabul"
"USA","127","Sam Adams","2.255 thousand","Portland","542 thousand","596","http://dbpedia.org/resource/Portland._Oregon"
"Algeria","369","Tayeb Zitouni","3.354 thousand","ALGIERS","1.520 thousand","211","http://dbpedia.org/resource/Algiers"
"Portugal","128","Rui Rio","1.210 thousand","Porto","263 thousand","n/r","http://dbpedia.org/resource/Porto"
"Brazil","129","Jos� Fortunati","3.646 thousand","Porto Alegre","1.355 thousand","273","http://dbpedia.org/resource/Porto_Alegre"
"France","20","Jean-Claude Gaudin","1.605 thousand","Marseille","852 thousand","464","http://dbpedia.org/resource/Marseille"
"Iran","21","Mohammad Pejman","3.000 thousand","Mashhad","2.910 thousand","81","http://dbpedia.org/resource/Babolsar"
"Oman","22","n/k","776 thousand","Masqat-Matrah","776 thousand","511","http://dbpedia.org/resource/Muscat._Oman"
"Mexico","23","n/k","780 thousand","Matamoros","370 thousand","n/r","http://dbpedia.org/resource/Matamoros._Tamaulipas"
"Indonesia","24","n/k","1.081 thousand","Mataram","330 thousand","n/r","http://dbpedia.org/resource/Mataram_(city)"
"Congo D.R.","25","n/k","1.054 thousand","Mbuji-Mayi","905 thousand","444","http://dbpedia.org/resource/Mbuji-Mayi"
"Saudi Arabia","26","Osama Al-Bar","2.500 thousand","Mecca","1.700 thousand","177","http://dbpedia.org/resource/Mecca"
"Indonesia","27","Rahudman Harahap","2.390 thousand","Medan","1.990 thousand","141","http://dbpedia.org/resource/Medan"
"Colombia","28","Alonso Salazar Jaramillo","3.312 thousand","Medellin","2.223 thousand","128","http://dbpedia.org/resource/Medell%C3%ADn"
"Saudi Arabia","29","Abdulaziz Bin Majid","1.300 thousand","Medina","1.300 thousand","291","http://dbpedia.org/resource/Medina"
"Algeria","370","Saddek Benkada","772 thousand","Oran","683 thousand","547","http://dbpedia.org/resource/Oran"
"Angola","371","Jos� Maria Ferraz dos Santos","5.500 thousand","LUANDA","4.799 thousand","41","http://dbpedia.org/resource/Luanda"
"Czech Republic","130","Zdenek Tuma","1.900 thousand","PRAGUE","1.242 thousand","315","http://dbpedia.org/resource/Prague"
"Argentina","372","Mauricio Macri","12.924 thousand","BUENOS AIRES","11.655 thousand","6","http://dbpedia.org/resource/Buenos_Aires"
"Mexico","131","Blanca Alcala Ruiz","2.500 thousand","Puebla","1.888 thousand","150","http://dbpedia.org/resource/Puebla._Puebla"
"Argentina","373","Daniel Giacomino","1.528 thousand","Cordoba","1.310 thousand","288","http://dbpedia.org/resource/C%C3%B3rdoba._Argentina"
"India","132","Mohansingh Rajpal","4.470 thousand","Pune","3.337 thousand","71","http://dbpedia.org/resource/Pune"
"Argentina","374","n/k",,"La Matanza","1.255 thousand","307","http://dbpedia.org/resource/La_Matanza_Partido"
"North Korea","133","n/k","3.400 thousand","PYONGYANG","3.255 thousand","72","http://dbpedia.org/resource/Pyongyang"
"Argentina","375","Miguel Lifschitz","1.358 thousand","Rosario","1.160 thousand","343","http://dbpedia.org/resource/Rosario._Santa_Fe"
"China","134","n/k",,"Qianjiang","1.190 thousand","330","http://dbpedia.org/resource/Qianjiang._Hubei"
"Argentina","376","Pablo Bruera","833 thousand","La Plata","710 thousand","535","http://dbpedia.org/resource/La_Plata"
"China","135","n/k",,"Qidong","1.160 thousand","342","http://dbpedia.org/resource/Qidong._Jiangsu"
"Argentina","377","Domingo Amaya","830 thousand","Tucuman","528 thousand","n/r","http://dbpedia.org/resource/San_Miguel_de_Tucum%C3%A1n"
"China","136","Xia Geng","7.580 thousand","Qingdao","2.755 thousand","88","http://dbpedia.org/resource/Qingdao"
"Argentina","378","V�ctor Fayad","849 thousand","Mendoza","113 thousand","n/r","http://dbpedia.org/resource/Mendoza._Argentina"
"China","137","Liu Gang","6.011 thousand","Qiqihaer","1.439 thousand","240","http://dbpedia.org/resource/Qiqihar"
"Armenia","379","Gagik Beglaryan","1.246 thousand","YEREVAN","1.108 thousand","365","http://dbpedia.org/resource/Yerevan"
"Iran","138","n/k",,"Qom","1.042 thousand","393","http://dbpedia.org/resource/Qom"
"China","139","Zhu Ming","7.790 thousand","Quanzhou","1.490 thousand","220","http://dbpedia.org/resource/Quanzhou"
"India","30","n/k",,"Meerut","1.277 thousand","306","http://dbpedia.org/resource/Meerut"
"Australia","31","Robert Doyle","3.3635 thousand","Melbourne","3.635 thousand","61","http://dbpedia.org/resource/Melbourne"
"USA","32","AC Wharton","1.281 thousand","Memphis","670 thousand","555","http://dbpedia.org/resource/Memphis._Tennessee"
"Argentina","33","V�ctor Fayad","849 thousand","Mendoza","113 thousand","n/r","http://dbpedia.org/resource/Mendoza._Argentina"
"Mexico","34","C�sar Boj�rquez Zapata","890 thousand","Merida","734 thousand","525","http://dbpedia.org/resource/M%C3%A9rida._Yucat%C3%A1n"
"Mexico","35","n/k","1.000 thousand","Mexicali","1.000 thousand","411","http://dbpedia.org/resource/Mexicali"
"Mexico","36","Marcelo Ebrard","21.163 thousand","MEXICO CITY","8.841 thousand","14","http://dbpedia.org/resource/Mexico_City"
"USA","37","Tom�s Regalado","5.413 thousand","Miami","386 thousand","n/r","http://dbpedia.org/resource/Miami"
"China","38","Liu Dong","5.200 thousand","Mianyang","1.300 thousand","292","http://dbpedia.org/resource/Mianyang"
"Italy","39","Letizia Moratti","4.051 thousand","Milan","1.302 thousand","289","http://dbpedia.org/resource/Milan"
"Australia","380","Clover Moore",,"Sydney","4.400 thousand","48","http://dbpedia.org/resource/Sydney"
"Australia","381","Robert Doyle","3.3635 thousand","Melbourne","3.635 thousand","61","http://dbpedia.org/resource/Melbourne"
"Canada","140","R�gis Labeaume","717 thousand","Qu�bec","495 thousand","n/r","http://dbpedia.org/resource/Quebec_City"
"Australia","382","Lisa Scaffidi",,"Perth","1.603 thousand","193","http://dbpedia.org/resource/Perth"
"Philippines","141","Herbert M Bautis",,"Quezon City","2.680 thousand","92","http://dbpedia.org/resource/Quezon_City"
"Australia","383","Campbell Newman","1.544 thousand","Brisbane","1.544 thousand","204","http://dbpedia.org/resource/Brisbane"
"Ecuador","142","Augusto Barrera","1.842 thousand","QUITO","1.648 thousand","187","http://dbpedia.org/resource/Quito"
"Australia","384","Stephen Yarwood",,"Adelaide","1.290 thousand","296","http://dbpedia.org/resource/Adelaide"
"Morocco","143","Omar El Bahraoui","1.790 thousand","RABAT","627 thousand","564","http://dbpedia.org/resource/Rabat"
"Austria","385","Michael H�upl","2.269 thousand","VIENNA","1.681 thousand","180","http://dbpedia.org/resource/Vienna"
"India","144","Sandhya Vyas",,"Rajkot","1.336 thousand","283","http://dbpedia.org/resource/Rajkot"
"Azerbaijan","386","Hajibala Abutalybov","2.072 thousand","BAKU","2.040 thousand","138","http://dbpedia.org/resource/Baku"
"USA","145","Charles Meeker","1.691 thousand","Raleigh","393 thousand","n/r","http://dbpedia.org/resource/Raleigh._North_Carolina"
"Bangladesh","387","Sadeque Hossain Khosa","12.797 thousand","DHAKA","7.940 thousand","19","http://dbpedia.org/resource/Dhaka"
"India","146","Rama Khalkho",,"Ranchi","1.290 thousand","298","http://dbpedia.org/resource/Ranchi"
"Bangladesh","388","Mohammed Manjur Alam","3.858 thousand","Chittagong","2.580 thousand","100","http://dbpedia.org/resource/Chittagong"
"Pakistan","147","Raja Hamid Nawaz","2.548 thousand","Rawalpindi","1.558 thousand","202","http://dbpedia.org/resource/Rawalpindi"
"Bangladesh","389","Talukder Abdul Khaleque","1.388 thousand","Khulna","856 thousand","463","http://dbpedia.org/resource/Khulna"
"Brazil","148","Jo�o da Costa Bezerra Filho","3.769 thousand","Recife","1.561 thousand","200","http://dbpedia.org/resource/Recife"
"France","149","Daniel Delaveau",,"Rennes","206 thousand","n/r","http://dbpedia.org/resource/Rennes"
"USA","40","Tom Barrett","1.740 thousand","Milwaukee","604 thousand","569","http://dbpedia.org/resource/Milwaukee"
"USA","41","R T Rybak","3.503 thousand","Minneapolis","392 thousand","n/r","http://dbpedia.org/resource/Minneapolis"
"Belarus","42","Nikolai Ladutko",,"MINSK","1.831 thousand","155","http://dbpedia.org/resource/Minsk"
"India","43","n/k","1.095 thousand","Mirat","1.095 thousand","370","http://dbpedia.org/resource/Meerut"
"Somalia","44","Mohamud Ahmed Tarzan","2.500 thousand","MOGADISHU","1.500 thousand","218","http://dbpedia.org/resource/Mogadishu"
"Kenia","45","Ahmed Abubakar Mohdhar",,"Mombasa","880 thousand","458","http://dbpedia.org/resource/Mombasa"
"Liberia","46","Ophelia Hoff Saytumah","1.010 thousand","MONROVIA","543 thousand","594","http://dbpedia.org/resource/Monrovia"
"Mexico","47","Fernando Larrazabal","3.650 thousand","Monterrey","2.057 thousand","137","http://dbpedia.org/resource/Monterrey"
"Uruguay","48","Ana Olivera","1.723 thousand","MONTEVIDEO","1.326 thousand","285","http://dbpedia.org/resource/Montevideo"
"France","49","H�l�ne Mandroux-Colas",,"Montpellier","252 thousand","n/r","http://dbpedia.org/resource/Montpellier"
"Belarus","390","Nikolai Ladutko",,"MINSK","1.831 thousand","155","http://dbpedia.org/resource/Minsk"
"Belgium","391","Freddy Thielemans","1.740 thousand","BRUSSELS","958 thousand","427","http://dbpedia.org/resource/Brussels"
