"country","id","mayor","metroPopulation","name","population","rank","sameAs"
"Brazil","412","Jo�o Castelo","1.228 thousand","Sao Luis","987 thousand","417","http://dbpedia.org/resource/S%C3%A3o_Lu%C3%ADs._Maranh%C3%A3o"
"Belgium","654","Dani�l Termont",,"Gent","233 thousand","n/r","http://dbpedia.org/resource/Ghent"
"Brazil","413","n/k","1.221 thousand","Sao Goncalo","973 thousand","419","http://dbpedia.org/resource/S%C3%A3o_Gon%C3%A7alo._Rio_de_Janeiro"
"India","655","Damyanti Goel",,"Ghaziabad","970 thousand","420","http://dbpedia.org/resource/Ghaziabad._Uttar_Pradesh"
"Brazil","414","Jos� C�cero Soares de Almeida","1.100 thousand","Maceio","922 thousand","437","http://dbpedia.org/resource/Macei%C3%B3"
"Egypt","656","n/k","2.600 thousand","Giza","2.225 thousand","127","http://dbpedia.org/resource/Giza"
"Brazil","415","Silvio Mendes","949 thousand","Teresina","893 thousand","453","http://dbpedia.org/resource/Teresina"
"UK","657","n/k","1.200 thousand","Glasgow","581 thousand","578","http://dbpedia.org/resource/Glasgow"
"Brazil","416","Jos� Camilo Zito dos Santos Filho","1.000 thousand","Duque de Caxias","864 thousand","462","http://dbpedia.org/resource/Duque_de_Caxias"
"Brazil","658","�ris Rezende Machado","2.064 thousand","Goiania","1.282 thousand","301","http://dbpedia.org/resource/Goi%C3%A2nia"
"Brazil","417","Lindberg Farias","959 thousand","Nova Iguacu","846 thousand","469","http://dbpedia.org/resource/Nova_Igua%C3%A7u"
"China","659","n/k",,"Gongzhuling","1.050 thousand","391","http://dbpedia.org/resource/Gongzhuling"
"Brazil","418","n/k","1.100 thousand","Natal","790 thousand","503","http://dbpedia.org/resource/Natal._Rio_Grande_do_Norte"
"Brazil","419","Luiz Marinho",,"Sao Bernardo do Campo","783 thousand","507","http://dbpedia.org/resource/S%C3%A3o_Bernardo_do_Campo"
"Sweden","660","Anneli Hulth�n","916 thousand","Gothenburg","506 thousand","n/r","http://dbpedia.org/resource/Gothenburg"
"South Korea","661","n/k",,"Goyang","1.073 thousand","378","http://dbpedia.org/resource/Goyang"
"Brazil","420","Ricardo Coutinho","984 thousand","Joao Pessoa","702 thousand","538","http://dbpedia.org/page/Jo�o_Pessoa._Para�ba"
"USA","662","George Heartwell","777 thousand","Grand Rapids","193 thousand","n/r","http://dbpedia.org/resource/Grand_Rapids._Michigan"
"Brazil","421","Eduardo Cury","794 thousand","Sao Jose dos Campos","611 thousand","567","http://dbpedia.org/resource/S%C3%A3o_Jos%C3%A9_dos_Campos"
"USA","663","Bill Knight","710 thousand","Greensboro","256 thousand","n/r","http://dbpedia.org/resource/Greensboro._North_Carolina"
"Brazil","422","D�rcy Vera","789 thousand","Ribeirao Preto","547 thousand","591","http://dbpedia.org/resource/Ribeir%C3%A3o_Preto"
"Mexico","664","Jorge Aristoteles Sandoval","3.600 thousand","Guadalajara","1.580 thousand","198","http://dbpedia.org/resource/Guadalajara"
"Brazil","423","Jo�o Paulo Tavares Papa","1.477 thousand","Santos","418 thousand","n/r","http://dbpedia.org/resource/Santos._S%C3%A3o_Paulo"
"China","665","n/k","3.037 thousand","Guangyuan","1.160 thousand","341","http://dbpedia.org/resource/Guangyuan"
"Brazil","424","Jo�o Carlos Coser","1.628 thousand","Vitoria","313 thousand","n/r","http://dbpedia.org/resource/Vit%C3%B3ria._Esp%C3%ADrito_Santo"
"China","666","Wan Qingliang","10.182 thousand","Guangzhou","6.458 thousand","28","http://dbpedia.org/resource/Guangzhou"
"Brazil","425","Jos� Antonio Camargo","2.160 thousand","Colombo","247 thousand","n/r","http://dbpedia.org/resource/Colombo"
